Nr.,Phase,Area,d,l,Xcg,Ycg,Major,Aspect_ratio,Slope,GOS,MOS,Mean_E1,Mean_E2,Mean_E3,In_current_dataset,Border_grain,Area_Log,Major_Log,Minor,Minor_Log
77,Aragonite,4.5624,2.4102,4,213.51,22.17,3.9972,2.7504,93.791,0.88,2.42,72.8,21.31,16.21,True,no,1.51784880086019,1.3855941160055,1.1413989792855,0.132254684854695
78,Aragonite,1.3635,1.3176,3,288.92,19.08,2.3501,3.1815,86.079,0.66,1.12,169.03,9.18,50.42,True,no,0.310054923303506,0.854457880442196,0.580188077103102,-0.544402957138689
79,Aragonite,0.62929,0.89512,4,8.92,17.17,1.1493,1.6485,80.583,0.63,0.91,81.62,113.1,19.53,True,no,-0.463163079247683,0.139153061392576,0.547541982076046,-0.602316140640259
80,Aragonite,1.8879,1.5504,2,23.28,20.61,2.2968,2.1947,95.643,0.61,1.02,76.97,108.94,13.27,True,no,0.63546510021886,0.831516849824717,0.821969696969697,-0.196051749605857
81,Aragonite,3.4087,2.0833,2,94.11,21.85,3.6432,3.0583,71.265,1.1,2.33,148.49,120.73,51.59,True,no,1.2263309869366,1.29286241632734,0.935633509003074,-0.0665314293907351
82,Aragonite,3.3038,2.051,6,226.92,23.4,4.1899,4.1734,95.133,0.54,2.07,57.64,7.34,7.33,True,no,1.1950733211389,1.43267686730079,0.788515239027184,-0.237603546161889
83,Aragonite,1.2586,1.2659,0,277.33,17.83,1.6726,1.7459,103.6,0.58,1.35,14.48,139.92,25.88,True,no,0.229999992110696,0.514379301965288,0.752481167045319,-0.284379309854592
84,Aragonite,6.8698,2.9575,3,333.31,23.32,3.9011,1.7399,62.813,1.31,3.53,31.65,60.88,151.43,True,no,1.92713499372898,1.36125856464867,1.76099048986183,0.565876429080312
85,Aragonite,1.4159,1.3427,2,348.59,19.11,2.3436,3.0466,87.247,0.5,1.19,86.11,36,81.16,True,no,0.347765371308788,0.851688208688496,0.60415599931729,-0.503922837379708
86,Aragonite,7.9186,3.1753,5,8.28,29.9,5.7801,3.3137,76.655,0.9,1.95,60.59,48.25,18.08,True,no,2.06921442252432,1.75442098357269,1.36997629798792,0.314793438951632
87,Aragonite,0.62929,0.89512,1,81,18.17,1.1694,1.7067,109.81,0.6,0.77,47.07,46.03,78.03,True,no,-0.463163079247683,0.156490796759433,0.538130665298444,-0.619653876007116
88,Aragonite,1.6257,1.4387,2,91.39,19.81,2.0177,1.9668,87.092,0.52,1.48,152.82,130.17,65.38,True,no,0.485938492258041,0.701958248838495,0.805719383456411,-0.216019756580454
89,Aragonite,1.0488,1.1556,3,127.95,19,1.5698,1.8453,83.461,0.59,1.32,108.79,102.78,63.56,True,no,0.047646653467353,0.450948222710576,0.668110587335966,-0.403301569243223
