Nr.	Phase	Area	d	l	Xcg	Ycg	Major	Aspect_ratio	Slope	GOS	MOS	Mean_E1	Mean_E2	Mean_E3	In_current_dataset	Border_grain
170	Aragonite	2.9791	1.9476	4	184.84	92.81	2.5083	1.6587	4.7455	0.62	1.04	136.06	59.89	138.30	True	no
171	Aragonite	1.1532	1.2117	4	81.08	92.75	1.648	1.8497	175.16	0.34	0.67	163.31	78.78	167.26	True	no
172	Aragonite	1.1532	1.2117	3	95.25	94.25	1.3858	1.3079	74.872	0.78	1.37	17.82	155.34	176.47	True	no
173	Aragonite	33.635	6.5441	12	171.02	106.41	8.9413	1.8668	134.99	1.33	3.45	100.58	114.43	87.68	True	no
174	Aragonite	4.0362	2.2669	4	195.93	97.00	3.8107	2.8257	114.15	0.70	1.55	94.86	140.49	159.52	True	no
175	Aragonite	6.2465	2.8202	3	203.15	96.51	3.8315	1.8458	145.96	0.59	1.49	135.69	57.73	142.38	True	no
176	Aragonite	1.922	1.5643	4	49.60	95.60	2.3374	2.2326	83.462	0.70	2.43	0.05	44.22	129.14	True	no
177	Aragonite	1.4415	1.3548	5	65.27	95.33	1.484	1.1999	95.884	0.40	0.50	75.90	101.26	15.79	True	no
178	Aragonite	3.9401	2.2398	6	87.46	96.02	2.9867	1.7781	150.62	0.80	1.40	11.13	154.60	31.81	True	no
179	Aragonite	5.5738	2.664	4	177.19	100.34	4.8486	3.3126	107.1	0.79	1.76	45.60	102.05	71.44	True	no
180	Aragonite	2.2103	1.6776	4	39.70	95.65	2.3143	1.9031	177.77	0.69	1.39	63.60	114.24	18.21	True	no
181	Aragonite	9.2256	3.4273	6	57.20	102.72	5.2916	2.3838	101.69	0.95	2.77	9.46	39.90	158.03	True	no
182	Aragonite	1.0571	1.1601	3	61.09	95.18	1.5908	1.8802	166.72	0.44	0.72	124.62	20.96	43.47	True	no
183	Aragonite	3.4596	2.0988	6	97.08	98.53	2.318	1.2199	100.87	0.75	1.34	22.45	98.77	177.94	True	no
184	Aragonite	1.922	1.5643	2	189.65	96.75	2.285	2.1336	112.25	0.55	1.07	130.58	30.36	157.83	True	no
185	Aragonite	5.0933	2.5466	7	47.72	100.11	3.5011	1.8902	124.38	1.38	2.33	175.51	137.72	51.31	True	no
186	Aragonite	9.3217	3.4451	7	190.76	104.73	7.0074	4.1372	120	1.28	3.20	126.99	27.06	160.83	True	no
187	Aragonite	1.5376	1.3992	3	79.06	97.63	1.4693	1.1028	22.778	0.47	1.17	14.43	156.75	33.84	True	no
188	Aragonite	6.5348	2.8845	7	106.21	100.41	3.1754	1.2119	140.55	1.10	2.22	105.74	104.76	54.77	True	no
189	Aragonite	1.6337	1.4423	3	121.65	98.12	2.096	2.1121	40.496	0.46	0.87	21.40	103.91	106.42	True	no
190	Aragonite	5.4777	2.6409	6	181.81	101.82	4.4177	2.7982	86.164	1.03	2.79	164.96	99.39	109.10	True	no
191	Aragonite	3.6518	2.1563	2	1.05	100.21	1.9734	1.6751	89.647	0.76	1.41	73.26	67.12	178.70	True	edge
192	Aragonite	1.922	1.5643	4	42.35	100.05	1.9241	1.5128	106.04	0.95	1.77	133.31	19.12	37.70	True	no
193	Aragonite	0.961	1.1062	4	62.70	98.30	1.2466	1.27	135	0.16	0.78	165.56	73.06	15.53	True	no
194	Aragonite	1.5376	1.3992	2	82.63	99.13	1.442	1.0622	161.57	0.37	0.67	147.30	136.93	160.84	True	no
195	Aragonite	1.4415	1.3548	4	113.13	98.73	1.4736	1.1831	78.917	0.00	0.00	125.68	84.57	53.53	True	no
196	Aragonite	3.5557	2.1277	4	37.89	101.35	2.2925	1.1609	170.52	1.17	2.33	166.69	72.18	13.68	True	no
197	Aragonite	20.854	5.1528	12	69.43	107.06	5.5344	1.1536	152.68	1.58	3.61	128.11	21.11	43.86	True	no
198	Aragonite	2.2103	1.6776	3	75.87	100.48	1.941	1.3387	131.41	1.17	1.65	164.67	80.65	15.89	True	no
199	Aragonite	0.961	1.1062	4	92.00	99.80	1.2441	1.2649	90	0.19	0.46	73.46	72.58	6.29	True	no
200	Aragonite	1.2493	1.2612	3	131.62	99.38	1.3894	1.2136	66.96	0.84	1.03	77.80	166.36	109.48	True	no
201	Aragonite	1.5376	1.3992	2	140.00	100.44	2.0769	2.2033	43.716	1.23	2.76	37.74	163.88	73.72	True	no
202	Aragonite	8.7451	3.3369	7	151.78	105.19	4.3394	1.6912	162.85	1.16	2.31	128.26	82.88	92.21	True	no
203	Aragonite	1.7298	1.4841	2	151.83	101.28	1.9978	1.8121	89.712	0.43	1.25	12.09	94.68	94.92	True	no
204	Aragonite	2.1142	1.6407	4	200.91	103.09	2.9778	3.2941	83.358	1.20	1.99	145.39	26.52	147.52	True	no
205	Aragonite	4.9011	2.4981	6	89.02	105.20	3.2017	1.6427	82.906	1.12	2.13	3.94	156.32	27.79	True	no
206	Aragonite	1.2493	1.2612	3	115.77	101.77	1.4953	1.4057	45	0.20	1.29	38.22	128.38	120.56	True	no
207	Aragonite	2.0181	1.603	4	118.90	103.67	2.5009	2.4341	92.479	0.44	0.69	164.52	115.77	115.36	True	no
208	Aragonite	40.17	7.1516	4	9.41	108.07	5.8436	1.3353	168.9	1.19	2.74	59.70	14.76	123.07	True	edge
209	Aragonite	1.6337	1.4423	4	44.76	104.29	1.837	1.6222	88.075	0.44	1.62	132.39	18.76	40.97	True	no
210	Aragonite	1.1532	1.2117	1	64.92	103.08	1.7258	2.0284	135	0.26	0.52	165.09	73.05	15.26	True	no
211	Aragonite	1.5376	1.3992	4	100.50	103.00	1.5485	1.2247	90	0.45	1.18	19.77	142.01	178.87	True	no
212	Aragonite	1.2493	1.2612	4	111.46	102.38	1.5429	1.4965	39.265	0.62	1.05	178.94	142.46	132.98	True	no
213	Aragonite	1.6337	1.4423	4	121.53	103.71	2.329	2.6077	94.764	0.65	1.26	133.50	51.30	118.93	True	no
214	Aragonite	0.961	1.1062	2	125.00	102.50	1.4135	1.633	116.57	0.34	0.43	29.11	132.91	112.51	True	no
215	Aragonite	2.7869	1.8837	5	135.59	105.07	2.4111	1.6383	54.921	1.03	1.80	90.70	49.80	96.43	True	no
