Nr.	Phase	Area [µm²]	d [µm]	l	Xcg	Ycg	Major [µm]	Aspect ratio	Slope	GOS [°]	MOS [°]	Mean E1 [°]	Mean E2 [°]	Mean E3 [°]	In current dataset	Border grain
3854	Aragonite	0.8019	1.0105	4	506.64	377.27	1.283	1.6122	38.232	0.30	1.66	117.88	99.35	175.84	True	no
3855	Aragonite	5.2488	2.5851	9	237.69	382.97	3.8307	2.1958	78.863	1.34	3.42	78.17	167.78	9.15	True	no
3856	Aragonite	0.9477	1.0985	4	295.85	378.77	1.5101	1.8898	78.69	0.63	0.94	120.08	89.89	160.90	True	no
3857	Aragonite	1.2393	1.2562	5	336.41	380.18	2.1598	2.9561	80.912	0.70	1.37	115.66	107.68	30.30	True	no
3858	Aragonite	2.7702	1.8781	2	565.95	379.26	1.9661	2.1919	107.15	0.42	1.27	82.54	18.17	70.60	True	edge
3859	Aragonite	0.9477	1.0985	4	327.69	381.08	1.476	1.8056	81.74	0.48	0.93	92.43	147.74	167.59	True	no
3860	Aragonite	1.6038	1.429	3	343.73	381.14	1.8948	1.7582	76.588	0.68	1.42	106.78	44.93	169.01	True	no
3861	Aragonite	20.849	5.1523	6	22.21	390.23	6.8257	1.755	47.132	1.34	3.57	65.03	122.88	26.52	True	no
3862	Aragonite	1.8954	1.5535	0	73.04	381.73	1.7418	1.2572	83.629	0.54	1.43	171.35	160.67	126.93	True	no
3863	Aragonite	5.5404	2.656	7	230.76	388.03	5.5749	4.4058	70.608	0.86	2.26	72.30	113.14	0.75	True	no
3864	Aragonite	1.0935	1.18	3	288.93	381.67	1.653	1.9625	84.586	0.51	0.77	105.08	102.65	144.42	True	no
3865	Aragonite	2.6973	1.8532	6	365.49	382.65	2.1525	1.3491	71.069	0.55	1.92	177.07	31.53	87.32	True	no
3866	Aragonite	2.1141	1.6407	3	508.17	382.41	2.4747	2.2752	110.34	0.62	1.15	123.83	34.59	174.95	True	no
3867	Aragonite	1.8954	1.5535	0	59.35	382.85	2.4512	2.4897	27.945	0.94	1.68	168.85	159.94	123.55	True	no
3868	Aragonite	6.1236	2.7923	2	83.85	385.11	4.5045	2.6025	26.497	0.82	1.86	170.96	160.39	123.22	True	no
