Nr.	Phase	Area [µm²]	d [µm]	l	Xcg	Ycg	Major [µm]	Aspect ratio	Slope	GOS [°]	MOS [°]	Mean E1 [°]	Mean E2 [°]	Mean E3 [°]	In current dataset	Border grain
894	Aragonite	0.99	1.1227	3	170.91	137.36	1.3364	1.4169	74.929	0.70	0.96	50.16	128.71	30.51	True	no
895	Aragonite	0.9	1.0705	1	291.80	137.40	1.3827	1.6684	40.935	0.61	0.76	116.67	11.06	63.84	True	no
896	Aragonite	1.71	1.4755	3	322.37	138.58	1.9939	1.8261	88.423	0.90	2.04	3.50	98.54	54.85	True	no
897	Aragonite	0.9	1.0705	3	344.20	137.10	1.2312	1.3229	153.43	0.47	0.94	157.83	78.27	145.25	True	no
898	Aragonite	9.63	3.5016	7	348.41	141.52	3.9839	1.2944	133.18	1.19	4.01	39.63	144.11	73.17	True	no
899	Aragonite	5.04	2.5332	9	39.88	142.23	3.0074	1.4094	95.913	0.86	2.02	87.60	141.33	61.91	True	no
900	Aragonite	0.9	1.0705	1	102.30	139.20	1.6517	2.3808	121.56	0.59	1.58	157.91	128.28	49.07	True	no
901	Aragonite	0.9	1.0705	4	238.90	138.40	1.251	1.3657	42.254	0.24	0.59	40.92	112.43	11.21	True	no
902	Aragonite	10.35	3.6302	6	297.84	141.70	5.2394	2.0831	179.22	1.07	3.02	0.85	41.33	175.44	True	no
903	Aragonite	4.05	2.2708	8	15.11	142.27	3.1979	1.9832	125.72	0.61	1.25	46.92	140.02	47.90	True	no
904	Aragonite	1.17	1.2205	2	22.08	140.00	1.3932	1.3029	164.99	0.86	1.22	169.21	109.20	34.61	True	no
905	Aragonite	1.44	1.3541	3	53.56	139.88	1.617	1.4261	83.329	0.58	1.24	22.46	140.19	112.93	True	no
906	Aragonite	1.26	1.2666	5	59.79	139.57	1.3741	1.1769	171.92	0.53	0.97	154.65	14.66	40.92	True	no
907	Aragonite	2.43	1.759	3	68.41	142.30	2.7203	2.3917	59.865	0.63	2.35	50.36	108.70	169.79	True	no
908	Aragonite	1.89	1.5513	4	122.95	141.24	2.7598	3.1651	116	0.57	1.21	167.19	88.90	39.51	True	no
909	Aragonite	7.56	3.1025	6	129.46	143.60	3.8618	1.5493	142.53	0.75	1.85	91.81	41.82	54.72	True	no
910	Aragonite	0.9	1.0705	4	164.70	139.70	1.2842	1.4392	62.296	0.68	1.09	47.27	120.59	73.80	True	no
911	Aragonite	9.27	3.4355	11	191.71	143.60	5.7358	2.7874	24.39	2.42	4.44	56.66	123.59	34.35	True	no
912	Aragonite	7.02	2.9897	8	210.99	142.91	4.3603	2.1271	18.909	1.30	4.62	39.13	138.72	53.09	True	no
913	Aragonite	0.99	1.1227	4	10.64	140.45	1.5769	1.9727	138.8	0.55	1.43	4.70	86.90	27.31	True	no
914	Aragonite	8.1	3.2114	7	48.71	145.10	3.6107	1.2641	132.63	1.14	2.52	114.76	56.16	134.01	True	no
915	Aragonite	1.08	1.1726	3	83.50	140.50	1.1726	1	90	0.34	0.62	137.25	116.76	137.38	True	no
916	Aragonite	13.32	4.1182	10	87.98	149.28	6.1066	2.1988	70.689	0.98	2.85	135.99	117.14	136.95	True	no
917	Aragonite	1.44	1.3541	3	149.81	140.81	1.5661	1.3377	107.25	0.37	0.59	91.63	41.13	49.14	True	no
918	Aragonite	5.4	2.6221	7	168.55	142.67	3.527	1.8093	16.825	1.05	2.12	7.33	100.32	56.96	True	no
919	Aragonite	20.34	5.089	6	267.73	145.19	8.0278	2.4885	0.64065	1.44	3.99	177.64	67.96	9.08	True	no
920	Aragonite	2.79	1.8848	5	363.13	142.90	2.3811	1.596	105.25	0.89	2.01	79.57	128.21	72.95	True	no
921	Aragonite	1.17	1.2205	4	33.00	141.69	1.5493	1.6113	90	0.23	0.62	175.44	100.68	146.80	True	no
922	Aragonite	4.77	2.4644	6	73.83	143.77	2.8897	1.375	81.452	0.61	1.31	62.45	46.46	166.31	True	no
923	Aragonite	2.16	1.6584	5	203.71	141.88	2.5761	2.4129	8.6185	0.68	1.41	139.66	134.01	135.61	True	no
924	Aragonite	1.8	1.5139	3	278.20	142.70	1.7554	1.3445	95.415	1.08	1.47	149.67	18.63	29.62	True	no
925	Aragonite	4.77	2.4644	6	7.68	145.34	3.1731	1.6578	56.412	1.01	2.47	60.66	33.21	95.24	True	no
926	Aragonite	2.25	1.6926	6	56.16	144.20	2.3755	1.9699	52.296	0.50	1.02	26.36	141.48	116.21	True	no
927	Aragonite	1.44	1.3541	5	60.63	143.50	1.6532	1.4906	63.105	0.69	1.30	107.70	34.71	110.77	True	no
928	Aragonite	2.79	1.8848	5	78.77	144.97	2.3587	1.5661	88.22	0.53	1.17	51.01	108.97	168.84	True	no
929	Aragonite	3.51	2.114	5	97.69	147.05	3.7448	3.138	97.006	1.23	2.05	137.74	118.01	137.10	True	no
930	Aragonite	3.15	2.0027	6	160.11	144.51	2.4596	1.5083	79.211	0.67	1.20	58.03	123.67	75.66	True	no
931	Aragonite	3.24	2.0311	3	226.06	145.17	3.5172	2.9987	36.89	1.16	2.18	70.23	132.72	84.70	True	no
932	Aragonite	1.53	1.3957	5	240.65	143.18	1.9909	2.0348	140.8	0.48	0.95	71.89	33.69	57.21	True	no
933	Aragonite	12.24	3.9477	7	324.14	151.98	5.5468	1.9742	109.21	1.11	2.61	38.83	154.55	112.98	True	no
934	Aragonite	1.53	1.3957	3	37.24	144.29	1.5195	1.1853	147.7	0.72	1.72	1.71	52.77	43.66	True	no
935	Aragonite	1.17	1.2205	3	82.92	143.31	1.443	1.3977	178.55	0.48	0.80	56.06	142.04	78.32	True	no
936	Aragonite	3.42	2.0867	4	109.89	146.84	3.0914	2.1947	63.919	0.68	1.24	159.03	127.22	46.14	True	no
937	Aragonite	1.62	1.4362	3	180.33	144.06	1.8092	1.5868	142.78	0.77	1.11	73.59	115.79	86.46	True	no
938	Aragonite	5.31	2.6002	5	317.22	148.86	4.304	2.7399	87.048	0.85	2.17	120.68	56.41	153.12	True	no
939	Aragonite	7.65	3.1209	8	344.81	148.47	5.5915	3.2098	139.65	1.40	2.53	119.50	129.77	133.49	True	no
940	Aragonite	1.71	1.4755	6	151.79	144.84	1.8871	1.6357	161.71	0.63	1.08	177.65	85.79	127.41	True	no
941	Aragonite	5.49	2.6439	7	198.89	147.70	3.3243	1.5809	159.46	0.85	1.88	135.88	137.49	134.81	True	no
942	Aragonite	1.35	1.3111	3	313.07	145.67	1.8367	1.9625	95.414	0.56	1.02	164.58	122.46	80.29	True	no
943	Aragonite	5.4	2.6221	4	103.87	150.02	3.0499	1.3529	90.325	1.07	2.28	56.19	143.60	78.73	True	no
944	Aragonite	4.77	2.4644	6	114.62	149.00	3.5636	2.0909	46.666	0.78	1.64	4.54	98.87	106.65	True	no
945	Aragonite	0.9	1.0705	3	174.00	145.40	1.3311	1.5462	106	0.75	2.17	130.59	108.75	111.76	True	no
946	Aragonite	4.68	2.4411	6	230.38	147.87	3.3464	1.8793	47.32	1.12	2.07	85.61	133.76	93.33	True	no
947	Aragonite	1.44	1.3541	5	246.00	145.50	1.4985	1.2247	90	0.42	1.57	175.27	62.87	6.48	True	no
948	Aragonite	8.91	3.3682	7	308.31	150.55	3.5978	1.141	92.173	1.77	3.01	60.17	62.62	60.56	True	no
