Nr.	Phase	Area	d	l	Xcg	Ycg	Major	Aspect_ratio	Slope	GOS	MOS	Mean_E1	Mean_E2	Mean_E3	In_current dataset	Border_grain
1165	Aragonite	6.9632	2.9776	3	175.04	174.69	5.3658	3.2475	91.284	0.98	2.95	56.32	55.42	71.53	True	no
1166	Aragonite	1.1264	1.1976	3	311.09	166.00	1.4708	1.5084	104.71	0.42	1.36	58.70	77.50	129.82	True	no
1167	Aragonite	1.536	1.3985	3	359.80	166.07	1.8553	1.76	167.02	0.86	1.51	127.91	142.84	45.34	True	no
1168	Aragonite	2.56	1.8054	5	422.48	168.00	3.5339	3.8313	55.759	0.70	1.84	59.00	88.65	9.63	True	no
1169	Aragonite	7.9872	3.189	8	443.41	169.94	4.914	2.3744	140.04	1.15	3.04	144.20	119.51	168.63	True	no
1170	Aragonite	1.024	1.1418	4	450.70	166.10	1.3973	1.4974	100.46	0.60	0.78	149.46	127.20	113.47	True	no
1171	Aragonite	2.1504	1.6547	6	466.24	166.10	1.8145	1.2025	69.082	0.41	0.87	2.68	38.51	25.00	True	no
1172	Aragonite	7.0656	2.9994	8	12.48	170.86	3.9014	1.6919	98.357	0.71	1.65	19.19	104.66	175.45	True	no
1173	Aragonite	6.7584	2.9334	8	87.88	172.08	3.9721	1.8335	123.76	1.49	3.47	14.27	19.99	111.38	True	no
1174	Aragonite	1.1264	1.1976	4	244.55	166.82	1.4693	1.5054	41.028	0.47	0.59	132.80	144.08	162.28	True	no
1175	Aragonite	1.4336	1.351	3	297.93	167.21	1.9902	2.1699	139.91	0.38	0.70	89.26	128.44	165.89	True	no
1176	Aragonite	6.3488	2.8432	5	332.52	168.37	3.5674	1.5744	46.615	0.88	1.85	31.79	139.96	5.69	True	no
1177	Aragonite	1.1264	1.1976	2	343.64	166.45	1.286	1.1531	108.43	0.59	1.98	130.81	79.48	65.85	True	no
1178	Aragonite	1.4336	1.351	1	375.64	167.21	1.4704	1.1846	50.52	0.67	1.24	66.33	75.19	58.62	True	no
1179	Aragonite	1.024	1.1418	4	447.80	166.80	1.5697	1.8898	45	0.34	0.92	84.83	101.53	68.89	True	no
1180	Aragonite	1.4336	1.351	4	32.21	168.00	2.0235	2.2431	102.54	0.94	1.59	114.83	85.07	75.21	True	no
1181	Aragonite	2.048	1.6148	4	44.00	168.50	1.8536	1.3177	106.85	0.90	1.73	137.01	135.47	16.55	True	no
1182	Aragonite	9.216	3.4255	10	74.31	174.09	4.9454	2.0842	116.66	1.65	3.44	85.51	46.24	45.88	True	no
1183	Aragonite	1.1264	1.1976	2	74.09	167.64	1.4255	1.4169	74.929	0.62	1.48	18.67	26.09	106.78	True	no
1184	Aragonite	2.56	1.8054	5	78.72	168.28	2.5983	2.0712	144.23	0.96	2.17	115.29	48.90	24.44	True	no
1185	Aragonite	6.8608	2.9556	6	147.72	170.58	6.0529	4.1942	30.505	1.39	2.87	176.91	105.52	153.52	True	no
1186	Aragonite	6.5536	2.8887	5	263.98	171.39	3.2538	1.2688	87.112	1.03	1.98	131.21	64.32	70.25	True	no
1187	Aragonite	1.536	1.3985	4	278.47	167.47	1.5268	1.192	78.555	0.52	0.91	175.18	22.71	140.69	True	no
1188	Aragonite	1.3312	1.3019	3	325.54	167.38	1.5926	1.4965	140.73	0.58	1.50	132.06	118.83	94.37	True	no
1189	Aragonite	5.7344	2.7021	6	364.70	170.41	2.9778	1.2145	129.1	1.58	3.74	54.33	121.19	132.57	True	no
1190	Aragonite	4.3008	2.3401	4	383.64	170.38	3.39	2.0986	116.4	0.86	1.96	112.78	126.98	104.38	True	no
1191	Aragonite	2.1504	1.6547	3	392.00	169.67	2.254	1.8556	119.24	0.72	1.29	17.16	52.10	126.31	True	no
1192	Aragonite	1.1264	1.1976	2	403.45	167.18	1.9261	2.5867	162.26	0.90	0.93	146.41	83.78	177.09	True	no
1193	Aragonite	2.7648	1.8762	5	6.30	170.33	2.2204	1.4005	83.491	0.80	1.70	173.76	12.09	27.21	True	no
1194	Aragonite	4.4032	2.3678	5	36.16	171.79	3.6225	2.3407	110.93	1.02	1.74	116.87	81.81	75.49	True	no
1195	Aragonite	3.2768	2.0426	4	100.94	170.44	2.7203	1.7737	138.63	1.42	3.11	109.52	46.89	29.95	True	no
1196	Aragonite	4.1984	2.312	2	169.00	171.61	2.7806	1.4464	60.889	1.02	1.86	120.28	155.58	112.46	True	no
1197	Aragonite	1.3312	1.3019	5	227.15	169.23	1.7897	1.8898	78.69	0.33	0.54	77.73	88.66	96.38	True	no
1198	Aragonite	2.048	1.6148	2	241.00	169.40	2.0772	1.6546	129.65	0.68	1.64	147.35	81.08	169.07	True	no
1199	Aragonite	12.083	3.9223	9	298.47	172.33	7.5196	3.6753	162.58	0.80	1.69	143.99	153.17	134.62	True	no
1200	Aragonite	3.8912	2.2259	5	341.71	171.18	2.8398	1.6277	27.836	0.93	1.33	120.04	56.45	95.68	True	no
1201	Aragonite	1.9456	1.5739	5	352.95	168.16	2.3641	2.2561	8.3285	0.57	1.13	89.29	83.42	62.71	True	no
1202	Aragonite	2.8672	1.9107	5	357.04	170.18	2.3723	1.5416	55.627	0.59	1.56	169.94	89.07	71.82	True	no
1203	Aragonite	6.5536	2.8887	9	403.75	172.03	4.67	2.6136	138.01	1.03	2.30	156.10	26.52	170.05	True	no
1204	Aragonite	1.1264	1.1976	4	470.18	168.18	1.6136	1.8155	172.37	0.72	0.90	174.25	118.33	37.68	True	no
1205	Aragonite	13.312	4.117	11	61.15	174.97	4.9916	1.47	65.6	1.83	3.91	17.04	126.45	177.18	True	no
1206	Aragonite	2.9696	1.9445	3	159.24	171.38	3.3734	3.0098	34.79	1.05	2.41	39.69	133.49	169.78	True	no
1207	Aragonite	1.024	1.1418	3	230.20	169.40	1.4749	1.6684	139.07	0.37	0.63	128.04	145.49	163.58	True	no
1208	Aragonite	1.3312	1.3019	4	251.23	169.92	1.3669	1.1024	74.767	0.72	1.05	103.12	92.34	128.40	True	no
1209	Aragonite	1.1264	1.1976	2	258.00	170.45	1.8788	2.4612	72.172	1.04	1.73	129.27	68.04	73.16	True	no
1210	Aragonite	2.2528	1.6936	4	274.32	170.64	1.9108	1.273	172.75	0.44	1.79	124.68	145.41	159.96	True	no
