Nr.,Phase,Area,d,l,Xcg,Ycg,Major,Aspect_ratio,Slope,GOS,MOS,Mean_E1,Mean_E2,Mean_E3,In_current_dataset,Border_grain,Log_Area,Log_Major,Minor,Log_Minor
75,Aragonite,18.09,4.7993,12,147.77,28.81,5.6408,1.3814,136.97,1.01,2.66,24.09,128.39,99.9,True,no,2.8953592994072,1.73002589942269,3.20699191604028,1.16533339998451
76,Aragonite,0.9,1.0705,0,205.8,21,1.2039,1.2649,90,0.7,0.88,65.54,55.8,13.99,True,no,-0.105360515657826,0.185566286958844,0.74757039621231,-0.29092680261667
77,Aragonite,1.17,1.2205,0,329.92,21.62,1.265,1.0742,11.31,0.56,0.61,97.62,89.86,7.24,True,no,0.157003748809665,0.235072122179483,0.924901185770751,-0.0780683733698188
78,Aragonite,3.69,2.1675,5,39.59,25,2.8457,1.7237,74.876,0.74,1.37,25,29.27,134.78,True,no,1.30562645805244,1.04580908300822,1.29669325649225,0.259817375044219
79,Aragonite,2.88,1.9149,5,63.84,24.09,2.1447,1.2544,34.66,0.41,1.18,121.25,134.65,133.96,True,no,1.05779029414785,0.762999682458779,1.34284515316828,0.294790611689076
80,Aragonite,2.25,1.6926,3,113.64,24.36,2.7322,2.6057,127.17,1.04,1.84,155.04,87.33,134.02,True,no,0.810930216216329,1.00510714547125,0.823512187980382,-0.194176929254921
81,Aragonite,1.08,1.1726,2,360,22.83,1.2864,1.2034,90,0.14,0.22,133.08,114.31,23.44,True,no,0.0769610411361284,0.251847619442565,0.83955223880597,-0.174886578306437
82,Aragonite,2.52,1.7912,3,47.93,25.89,2.8554,2.5411,102.27,1.15,1.76,157.63,88.77,88.62,True,no,0.924258901523332,1.04921193837298,0.882538348392519,-0.124953036849651
83,Aragonite,3.6,2.1409,3,122.65,26.05,2.745,1.6439,104.94,0.52,1,112.4,123.33,127.31,True,no,1.28093384546206,1.00978107496149,1.31147540983607,0.27115277050057
84,Aragonite,1.26,1.2666,0,455.71,23.5,1.2801,1.0214,90,1.14,1.21,179,147.47,79.22,True,no,0.231111720963387,0.246938199879927,0.984298101710804,-0.0158264789165404
85,Aragonite,2.61,1.823,3,5.17,26.14,2.1439,1.3831,21.949,0.55,1.13,146.43,148.24,127.03,True,no,0.959350221334602,0.762626600329749,1.21740752833621,0.196723621004853
86,Aragonite,1.89,1.5513,4,16.14,25.1,2.0596,1.7627,7.5238,1.05,2.06,136.09,59.05,136.97,True,no,0.636576829071551,0.722511789189849,0.917653913381239,-0.0859349601182983
87,Aragonite,2.88,1.9149,3,89.94,26.25,2.2216,1.3459,76.274,0.85,1.33,170.5,76.26,138.71,True,no,1.05779029414785,0.798227657010453,1.29636298163486,0.259562637137402
88,Aragonite,1.26,1.2666,4,99,24.36,1.6339,1.6641,28.945,0.46,1.07,57.9,136.52,85.92,True,no,0.231111720963387,0.490969795054641,0.771161025766571,-0.259858074091254
89,Aragonite,1.44,1.3541,4,134.38,24.25,1.6394,1.4659,12.694,0.69,1.87,86.9,133.28,108.3,True,no,0.364643113587909,0.494330321236793,0.878370135415396,-0.129687207648884
