"","Nr.","Phase","Area","d","l","Xcg","Ycg","Major","Aspect_ratio","Slope","GOS","MOS","Mean_E1","Mean_E2","Mean_E3","In_current_dataset","Border_grain","Log_Area","Log_Major","Minor","Log_Minor"
"112",112,"Aragonite",1.0933,1.1798,1,519.77,68,1.4927,1.6006,72.81,0.5,0.87,46.9,85.76,168.97,"True","no",0.089200645458302,0.400586560657057,0.732431165003015,-0.311385915198755
"113",113,"Aragonite",2.1025,1.6361,4,522.88,68.92,1.8537,1.2836,81.342,0.53,1.24,73.63,25.51,150.82,"True","no",0.743127112864966,0.617183641752906,1.13421805038572,0.12594347111206
"114",114,"Aragonite",2.1866,1.6686,3,558.69,69.31,2.9302,3.0839,142.88,0.83,1.38,114.49,41.02,55.45,"True","no",0.782347826018247,1.07507068008508,0.74622892635315,-0.292722854066828
"115",115,"Aragonite",6.5598,2.89,6,578.36,72.22,3.4848,1.4539,49.058,0.64,1.39,113.26,42.66,53.65,"True","no",1.88096011468636,1.2484106537565,1.88240358126722,0.632549460929853
"116",116,"Aragonite",1.7661,1.4996,6,670.57,69.76,1.7204,1.3163,82.852,1.12,2.44,58.42,93.4,20.09,"True","no",0.568773725720188,0.542556821927444,1.02656358986282,0.0262169037927442
"117",117,"Aragonite",3.1958,2.0172,4,705.74,68.16,2.999,2.2104,18.833,0.91,2.17,176.88,73.19,21.28,"True","no",1.16183744772315,1.09827889976687,1.06562187395799,0.0635585479562792
"118",118,"Aragonite",3.5322,2.1207,5,595.67,70.36,2.2149,1.0908,40.961,0.65,1.46,97.12,113.2,99.19,"True","no",1.26192090628013,0.795207255751093,1.5947446837329,0.466713650529041
"119",119,"Aragonite",3.364,2.0696,6,618.45,69.78,3.5752,2.9843,16.526,0.94,2.16,17.05,57.83,170.13,"True","no",1.2131307421107,1.2740211186371,0.940926381740882,-0.0608903765264032
"120",120,"Aragonite",3.4481,2.0953,7,626.17,70.73,2.3406,1.2478,71.361,0.6,1.39,168.12,136.95,176.64,"True","no",1.23782335470107,0.850407306758529,1.47316927283603,0.387416047942544
"121",121,"Aragonite",3.8686,2.2194,6,643.24,70.52,4.861,4.7972,19.538,1.46,3.98,148.06,158.62,124.92,"True","no",1.35289268448586,1.58124417806332,0.795844476445176,-0.228351493577458
"122",122,"Aragonite",1.0933,1.1798,4,680.54,68.62,1.4433,1.4965,39.265,0.15,0.28,64.13,126.52,6.35,"True","no",0.089200645458302,0.366932158391381,0.757500173214162,-0.277731512933079
"123",123,"Aragonite",6.3075,2.8339,8,566.08,74.48,3.8533,1.8488,115.24,1,2.96,160.73,92.02,32.53,"True","no",1.84173940153308,1.34892992401967,1.63690862377702,0.492809477513401
"124",124,"Aragonite",1.4297,1.3492,5,683.47,70.65,1.6424,1.4819,80.101,0.4,0.88,113.58,12.88,5.95,"True","no",0.357464632052981,0.496158586722587,0.870494398441305,-0.138693954669605
"125",125,"Aragonite",11.101,3.7596,5,719.58,71.97,2.7219,1.0483,131.82,0.76,1.58,142.87,27.78,38.54,"True","edge",2.40703519435051,1.00133016586156,4.07840111686689,1.40570502848895
"126",126,"Aragonite",1.5979,1.4264,2,486.11,71.68,2.1866,2.35,46.169,0.58,1.07,55.43,36.85,166.59,"True","no",0.468690267163206,0.782347826018247,0.730769230769231,-0.313657558855041
"127",127,"Aragonite",1.0092,1.1336,4,601.58,70.42,1.6043,2.0031,144.14,0.59,0.93,18.94,58.37,168.71,"True","no",0.00915793778476572,0.472687524374893,0.629059402854828,-0.463529586590127
"128",128,"Aragonite",0.9251,1.0853,2,630.09,71.09,1.2019,1.2265,102.22,0.46,0.85,171.85,77.6,178,"True","no",-0.0778534392048641,0.183903637976606,0.769697978201181,-0.26175707718147
"129",129,"Aragonite",1.3456,1.3089,3,676.25,71.69,2.0331,2.4127,127.42,0.26,0.41,107.46,68.55,19.5,"True","no",0.296840010236546,0.70956172182804,0.661846441394914,-0.412721711591493
"130",130,"Aragonite",3.364,2.0696,3,473.25,73.07,2.3277,1.265,3.3048,0.66,1.77,177.59,67.01,57.31,"True","no",1.2131307421107,0.844880655585876,1.44520341968467,0.368250086524825
