Nr.	Phase	Area	d	l	Xcg	Ycg	Major	Aspect_ratio	Slope	GOS	MOS	Mean_E1	Mean_E2	Mean_E3	In_current_dataset	Border_grain
3206	Aragonit	19.584	4.9935	6	997.67	686.42	5.8606	2.7549	124.64	0.94	3.00	81.09	151.83	67.28	True	edge
3207	Aragonit	0.3888	0.70359	3	678.74	661.22	1.014	2.0771	95.9	0.59	1.75	123.78	172.02	129.73	True	no
3208	Aragonit	0.1584	0.44909	2	809.00	660.00	0.57388	1.633	116.57	1.01	2.48	103.20	128.39	42.31	True	no
3209	Aragonit	3.1968	2.0175	4	833.64	667.20	2.5066	1.5436	9.0528	0.84	2.18	129.57	123.80	87.67	True	no
3210	Aragonit	1.5408	1.4006	3	856.83	664.47	1.7099	1.4903	45.861	0.71	2.06	125.34	106.91	125.73	True	no
3211	Aragonit	0.936	1.0917	3	906.38	666.15	1.9005	3.0307	69.047	0.72	1.49	130.81	104.27	127.79	True	no
3212	Aragonit	3.744	2.1833	7	774.73	674.56	3.2428	2.2059	59.431	1.10	2.69	129.49	138.85	62.61	True	no
3213	Aragonit	0.216	0.52442	3	922.40	662.13	0.91223	3.0258	110.41	0.96	2.36	105.63	146.50	110.05	True	no
3214	Aragonit	0.936	1.0917	3	957.37	662.40	1.3366	1.4991	176.09	0.54	1.14	124.85	126.86	136.33	True	no
3215	Aragonit	2.3328	1.7234	6	508.17	665.76	1.8246	1.1208	176.61	0.43	1.25	19.17	18.40	0.16	True	no
3216	Aragonit	12.197	3.9407	17	601.85	681.97	6.5778	2.7862	120.22	1.03	3.79	83.10	161.63	90.51	True	no
3217	Aragonit	0.6624	0.91836	3	690.09	665.43	1.4641	2.5416	104.86	0.58	1.52	139.76	174.74	30.38	True	no
3218	Aragonit	0.4608	0.76597	3	798.38	664.47	1.2401	2.6212	92.169	0.89	2.14	121.18	132.81	58.72	True	no
3219	Aragonit	1.0224	1.1409	4	804.70	665.42	1.4096	1.5263	143.15	0.77	1.64	134.39	135.01	80.55	True	no
3220	Aragonit	0.216	0.52442	2	830.07	661.07	0.85246	2.6423	3.3634	0.91	1.05	129.03	122.67	30.27	True	no
3221	Aragonit	0.792	1.0042	3	911.27	666.47	1.4796	2.1711	63.088	0.68	2.18	130.34	104.62	64.43	True	no
3222	Aragonit	1.8864	1.5498	6	489.71	665.77	2.4896	2.5807	166.78	0.68	2.70	164.31	158.11	97.97	True	no
3223	Aragonit	0.4896	0.78954	4	607.00	665.03	1.0635	1.8145	120.05	0.60	1.05	85.51	163.85	103.60	True	no
3224	Aragonit	1.3968	1.3336	6	749.40	667.08	1.8501	1.9247	143.38	0.76	3.00	143.35	138.17	4.53	True	no
3225	Aragonit	0.5904	0.86702	3	759.46	663.83	1.0053	1.3444	150.51	0.51	0.85	150.69	137.82	177.11	True	no
3226	Aragonit	0.2448	0.55829	2	871.41	663.12	0.67796	1.4747	64.267	0.57	1.24	126.51	104.75	5.82	True	no
3227	Aragonit	0.144	0.42819	1	887.90	663.10	0.59257	1.9152	54.363	1.12	2.25	126.72	105.03	7.25	True	no
3228	Aragonit	0.7632	0.98577	6	676.42	667.23	1.3843	1.972	114.02	0.77	1.85	51.44	3.85	171.81	True	no
3229	Aragonit	2.7936	1.886	4	767.68	671.21	2.3652	1.5728	69.676	0.79	2.59	126.73	139.90	64.61	True	no
3230	Aragonit	2.7216	1.8615	6	954.84	670.00	2.5081	1.8154	164.29	0.74	2.12	124.94	126.25	20.67	True	no
3231	Aragonit	0.5328	0.82364	4	703.86	665.81	1.0252	1.5493	31.78	0.63	1.76	125.78	144.90	105.60	True	no
3232	Aragonit	0.1584	0.44909	3	727.36	664.55	0.48225	1.1531	108.43	0.51	0.70	35.55	41.10	4.65	True	no
3233	Aragonit	1.4688	1.3675	3	784.44	671.77	2.0476	2.2418	78.814	0.94	2.16	128.06	141.61	73.71	True	no
3234	Aragonit	0.4752	0.77785	4	925.33	666.91	0.80666	1.0755	60.82	1.07	2.14	104.75	146.88	109.38	True	no
3235	Aragonit	1.3248	1.2988	1	462.03	671.83	2.0268	2.4353	114.9	0.77	2.32	62.77	161.88	58.99	True	no
3236	Aragonit	0.2016	0.50664	1	588.29	667.43	0.92234	3.3142	105.4	0.53	0.78	86.26	162.97	146.41	True	no
3237	Aragonit	0.4752	0.77785	3	662.85	670.58	1.6616	4.563	88.782	0.40	1.46	108.82	171.23	52.30	True	no
3238	Aragonit	2.2896	1.7074	6	669.62	673.21	2.2047	1.6674	95.314	0.63	1.19	38.19	4.03	121.56	True	no
3239	Aragonit	0.144	0.42819	2	764.50	665.60	0.54399	1.614	67.259	0.33	0.42	123.36	138.28	3.69	True	no
3240	Aragonit	0.2448	0.55829	3	811.59	665.94	0.69207	1.5367	114.9	0.73	1.14	137.84	135.10	146.57	True	no
