Nr.	Phase	Area [µm²]	d [µm]	l	Xcg	Ycg	Major [µm]	Aspect ratio	Slope	GOS [°]	MOS [°]	Mean E1 [°]	Mean E2 [°]	Mean E3 [°]	In current dataset	Border grain
2291	Aragonite	4.8125	2.4754	7	110.30	206.64	2.9622	1.432	109.17	0.99	2.14	45.26	45.63	110.82	True	no
2292	Aragonite	0.9375	1.0925	3	127.60	205.13	1.281	1.3747	111.73	0.77	1.51	160.38	115.42	50.12	True	no
2293	Aragonite	0.625	0.89206	4	208.70	204.00	1.4325	2.5787	103.35	0.95	1.64	15.48	52.76	126.53	True	no
2294	Aragonite	0.625	0.89206	2	227.80	203.50	1.0439	1.3693	90	0.33	0.82	97.00	39.51	101.37	True	no
2295	Aragonite	1.375	1.3231	1	246.27	204.41	1.6959	1.6429	117.63	0.36	0.81	89.14	44.75	92.46	True	no
2296	Aragonite	0.9375	1.0925	3	267.20	203.60	1.665	2.3224	146.42	0.65	1.75	124.09	76.16	61.82	True	no
2297	Aragonite	1.25	1.2616	0	365.25	204.35	1.4647	1.348	106	0.63	0.99	102.59	120.25	177.66	True	no
2298	Aragonite	1.375	1.3231	2	501.18	204.18	1.7684	1.7862	125.12	1.11	1.73	141.75	85.24	11.26	True	no
2299	Aragonite	5.875	2.735	6	536.22	206.83	3.2357	1.3996	150.8	0.79	2.15	145.66	51.14	12.44	True	no
2300	Aragonite	0.75	0.97721	2	540.67	203.33	1.2861	1.7321	135	0.42	0.86	168.19	91.03	18.45	True	no
2301	Aragonite	3.25	2.0342	2	598.98	207.42	2.6234	1.6632	100.35	0.84	1.39	92.95	33.44	46.32	True	no
2302	Aragonite	0.8125	1.0171	3	104.54	204.62	1.4123	1.9281	129.39	0.70	1.53	127.97	148.36	8.41	True	no
2303	Aragonite	1	1.1284	3	171.13	205.38	1.356	1.4441	103.99	0.77	1.24	56.05	27.97	72.01	True	no
2304	Aragonite	6.75	2.9316	8	181.73	211.87	3.746	1.6328	79.848	1.37	3.04	12.62	47.44	107.43	True	no
2305	Aragonite	1.75	1.4927	2	193.39	206.07	1.5734	1.111	86.6	1.03	2.28	6.34	42.16	111.75	True	no
2306	Aragonite	1.5	1.382	3	236.08	205.04	1.6503	1.426	116.11	0.74	1.36	93.81	36.17	105.85	True	no
2307	Aragonite	1.8125	1.5191	3	243.48	206.79	2.0692	1.8553	133.97	1.14	1.90	179.76	61.59	32.91	True	no
2308	Aragonite	1.0625	1.1631	1	358.94	205.35	1.2353	1.128	151.51	0.53	0.56	13.09	160.61	97.69	True	no
2309	Aragonite	0.8125	1.0171	0	389.15	204.46	1.096	1.1611	76.224	0.89	1.60	118.85	130.19	176.21	True	no
2310	Aragonite	1.0625	1.1631	1	447.18	205.12	1.3606	1.3684	59.93	0.67	0.84	146.07	123.65	35.17	True	no
2311	Aragonite	0.75	0.97721	1	476.92	204.67	1.2853	1.7299	88.612	0.31	0.31	163.68	164.07	42.80	True	no
2312	Aragonite	0.9375	1.0925	3	507.07	204.93	1.3125	1.4431	90.273	0.31	0.78	159.85	146.66	19.90	True	no
2313	Aragonite	8.125	3.2164	7	82.02	212.89	4.3898	1.8628	98.509	1.10	2.70	124.17	107.47	41.06	True	no
2314	Aragonite	3.125	1.9947	3	117.42	208.28	2.4492	1.5076	123.35	1.21	1.89	2.64	61.92	73.31	True	no
2315	Aragonite	0.625	0.89206	3	174.30	206.10	1.3278	2.2157	101.44	0.68	1.12	140.79	105.67	50.91	True	no
2316	Aragonite	1.375	1.3231	3	177.05	207.73	2.1558	2.6545	99.446	0.81	1.23	80.66	56.59	61.67	True	no
2317	Aragonite	0.625	0.89206	4	186.10	205.60	1.3274	2.2142	155.09	0.78	1.22	173.05	131.17	58.77	True	no
2318	Aragonite	6.0625	2.7783	6	204.14	209.79	3.3561	1.4592	164.86	2.10	3.79	145.87	83.54	41.71	True	no
